カード名,型番,画像ファイル名,フレーバー
貝獣 チャック,DMRP07 67/94,220_020_01_貝獣 チャック.jpg,水文明の汚染と魔導具の発生は、あまりにも突然、そして急激に進行した。そのため、塔から遠い地に住む者には、その事件自体を知らぬ者も存在した。
同じ釜の仲間 ジーラス,DMRP07 68/94,220_021_01_同じ釜の仲間 ジーラス.jpg,なんか、塔の方が大変だってウワサだけど、オレたちが力を合わせれば楽勝に決まってるぜ！なんせ、俺たち、同じ釜でゆでられた仲だもんな！ — 同じ釜の仲間 ジーラス
貝獣 ナマコッコ,DMRP07 69/94,220_022_01_貝獣 ナマコッコ.jpg,Q.Q.QX.とそのマスターは、自然文明最強の剣士と言われていたらしいが、どうやら自然の女王が争いを好まないため、今のような相手の五感を奪う戦いを身につけたらしい。なんでそんなこと知ってるかって？そら内緒だよ、ナーーマコッコッコ — 貝獣 ナマコッコ
堕呪 カージグリ,DMRP07 70/94,220_023_01_堕呪 カージグリ.jpg,魚人覇王団に封印された塔の中に隠されていたもの。それは闇文明に汚染された水だった。
堕呪 バレッドゥ,DMRP07 71/94,220_024_01_堕呪 バレッドゥ.jpg,突如生み出された実体を持たない魔導具。あまりに突然に始まった現象に水文明の住民たちは恐怖に震えた。
凶鬼85号 ユーズル,DMRP07 72/94,220_025_01_凶鬼85号 ユーズル.jpg,我々の汚染を受け、闇となったはずの絶十が、再び光に戻っただと!? 信じられん……。一度闇に染まったものが戻るなんて。これが光の救世主、煌世主とメシアカリバーの力なのか……。あまりの驚きに、この俺の回転数も４回転から85回転にアップしてしまった……。 — 凶器85号 ユーズル
ウェルター・ラッシャー,DMRP07 74/94,220_027_01_ウェルター・ラッシャー.jpg,ガイアハザードのヤツらは、ＤＷ様を倒して汚染を食い止めたと思ってるが……。我々の作戦はここからが本領発揮なのよ、ラッシャイ！ — ウェルター・ラッシャー
堕魔 グリゲドル,DMRP07 76/94,220_029_01_堕魔 グリゲドル.jpg,火文明への侵略はジョーカーズによって妨害された。闇文明のマスターは、ジョーカーズの存在が今後の邪魔になると考えている。
夜更人形ジェニコ,DMRP07 77/94,220_030_01_夜更人形ジェニコ.jpg,それでは、まずは……各文明の状況がゴチャゴチャしすぎてる件！……うーん、まぁ、確かに色んな文明同士の争いが起きててわかりにくくなってるわよね……。とりあえず、間違いなく覚えておいて欲しいのは、闇文明がついに侵略を本格化させ、それに各文明が対抗し始めてるってことかナ。そのために目覚めたのが光の煌世主、サッヴァークよ！ — 夜更人形ジェニコ
幽腐院の怨泉,DMRP07 78/94,220_031_01_幽腐院の怨泉.jpg,闇文明による侵略と汚染は着実に進んでいる。対抗できるのは、マスター・ドラゴンの力だけ。
すわれ！大焼きくん,DMRP07 79/94,220_032_01_すわれ！大焼きくん.jpg,♪毎日毎日、僕らは徹夜で、顔を焼かれてイヤになっちゃうよ…… — 大焼きくん
ピーター・バーガー,DMRP07 80/94,220_033_01_ピーター・バーガー.jpg,ご一緒にカードはいかが？ — ピーター・バーガー
ウラニック・ギガント,DMRP07 81/94,220_034_01_ウラニック・ギガント.jpg,火文明に攻撃してきた例のデュエル・ウォーリア、ブランド様に倒されたと思ったら、自然文明に侵略したらしい。そして、そこでも倒されたと思ったら、今度は光か……。不死身はいいけど、しつこいやつだな。 — ウラニック・ギガント
アリマ・チュリス,DMRP07 82/94,220_035_01_アリマ・チュリス.jpg,あのジョーカーズってやつら、ブランド様から火文明の力を手に入れたように、今度はオウ禍武斗の角から自然文明の力を得たッス！どんな文明の力も手に入れるあいつらの力なら、どんなレースも楽勝じゃないッスか!? — アリマ・チュリス
ビビラ戦車 ギョロンパ,DMRP07 83/94,220_036_01_ビビラ戦車 ギョロンパ.jpg,“轟轟轟”ブランドは、パワーアップしたその力でＤＭこと「でかいムカデ」を倒し、仲間たちの仇を討つ事に成功した！だが、「でかいムカデ」は何度でもよみがえる……。
“Ｍ-瑠”ララッタ,DMRP07 84/94,220_037_01_“Ｍ-瑠”ララッタ.jpg,おいらの自慢のメタルボディ！傷つけられるものなら、やってみるッス！ — “Ｍ-瑠”ララッタ
ガンガン・G・B,DMRP07 85/94,220_038_01_ガンガン・G・B.jpg,闇のデュエル・ウォーリアとの戦いに勝利したものの、自身も傷ついた“轟轟轟”ブランド。だが、彼には蒸気の力で一瞬で修理をするガンガン・Ｇ・Ｂがあるのだ！
ダダイモグ・タンク,DMRP07 86/94,220_039_01_ダダイモグ・タンク.jpg,「轟破天」のカブト鬼、「みのマジカル」のミノマル、「罠金乱舞」のでんでん、そして「5.S.D.」のハニーQ。4人のガイアハザードは最強だが……それを超えるのは「絶対無敵ドリル砲台エクセレント超戦車」の異名を持つダダイモグ・タンクのはずだ！ — ダダイモグ・タンクの運転手、ググモグラ
おいも三兄弟,DMRP07 87/94,220_040_01_おいも三兄弟.jpg,おいらたち自然文明の力を得たジョーカーズは、Jチェンジという次々にパワーアップする力を手に入れたイモ！ — おいも三兄弟
ばにーら,DMRP07 89/94,220_042_01_ばにーら.jpg,誰もが夢と罠を満喫できる、自然文明で一番のテーマパーク、その名は「でででーん・ランド」！キャッチコピーは「お前も透明にしてやろうか！」
テレビジオン,DMRP07 90/94,220_043_01_テレビジオン.jpg,折れたオウ禍武斗の角からデッキーへとパワーが注ぎ込まれ、自然のジョーカーズが誕生した！
メイプル超もみ人,DMRP07 91/94,220_044_01_メイプル超もみ人.jpg,手ごたえあり！ブパパブパパブパパー！ — メイプル超もみ人
ボーボボ・ボーボ坊,DMRP07 92/94,220_045_01_ボーボボ・ボーボ坊.jpg,ボーボボ、ボーボボボ？ボボボ、ボーボボボ！（そんな小さい火で何ができるって？僕だってもっと大きく燃える事ができるんだ！） — ボーボボ・ボーボ坊
マシュるん,DMRP07 93/94,220_046_01_マシュるん.jpg,激闘の末、オウ禍武斗に勝利したジョラゴン。その勝利を称えるかのように、大きく美しい虹が架かる。
メゾン・ド・マタンゴ,DMRP07 94/94,220_047_01_メゾン・ド・マタンゴ.jpg,メゾン・ド・マタンゴには、個性豊かな住民がいっぱい。姉御肌のどん子に、毒舌家のベニテング、実はお嬢様のトリュフ、そして管理人のナメ子。メゾン・ド・マタンゴのオーナーの隠し子として突如引っ越してきたシメジと彼女らの巻き起こすドタバタ活劇……。でも、それはまた、別のお話。
セツナノ裁徒,DMSD07 8/13,221_002_01_セツナノ裁徒.jpg,ラスト・バースト。それは、自身が破壊された時に最後の力を振り絞り、ツインパクトの呪文を発動させる新能力だ！
イカリノ裁徒,DMSD07 9/13,221_003_01_イカリノ裁徒.jpg,シールドを増やせば無敵のブロッカーとなるメシアカリバー。大量のクリーチャーが並べられても相手のブレイクのたびにアンタップして攻撃力を半減させるぞ！
剣参ノ裁キ,DMSD07 10/13,221_004_01_剣参ノ裁キ.jpg,光文明の探していた伝説の剣、その名はメシアカリバー。その剣を手に入れたものが煌く救世主、煌世主になるという。
憤怒スル破面ノ裁キ,DMSD07 11/13,221_005_01_憤怒スル破面ノ裁キ.jpg,裁きの紋章でお手軽にシールド追加！メシアカリバーの無敵攻撃開始だ！もちろん無敵のブロッカーとしても使えるぞ！まさに攻防一体の切り札だ！
ケジメノ裁徒,DMSD07 12/13,221_006_01_ケジメノ裁徒.jpg,シールドゾーンにカードが置かれればパワーアップするのは、メシアカリバーだけじゃない！裁きの紋章やソコーラでお手軽にシールドを増やして、ドンドン攻撃しよう！
一番隊 クリスタ,DMSD07 13/13,221_007_01_一番隊 クリスタ.jpg,コスト軽減のこいつは2ターン目に召喚したい！メタリカ軍団を並べてメシアカリバーをサポートせよ！
ソプラノ裁徒 / メロディアス・メロディ,DMSD07 2/13,221_008_01_ソプラノ裁徒 _ メロディアス・メロディ.jpg,ラスト・バーストでさらに２体止めれば、鉄壁の防御だ！
ミソラノ裁徒Z,DMSD07 4/13,221_010_01_ミソラノ裁徒Z.jpg,サバキZ、それはサッヴァークによって与えられた新たなる能力！裁きの紋章を使って相手の攻撃を利用し、反撃する能力だ！
奇石 ソコーラ,DMSD07 6/13,221_012_01_奇石 ソコーラ.jpg,まずはこいつから攻撃すれば、メシアカリバーやハンマノ裁徒をパワーアップさせられる！
天運ゼニスクラッチ,DMBD06 17/19,221_019_01_天運ゼニスクラッチ.jpg,頂神殿。それは、２柱の至高神が創世と終焉を繰り返した結果生み出されたもうひとつの世界。頂の力を得し者たちはそこに集う。 —『オラクルの書 第１章』
ヘブンズ・ゲート,DMBD06 18/19,221_020_01_ヘブンズ・ゲート.jpg,天門の先にあるのはゼニスの頂神殿。「創世」と「終焉」、２柱のゼニスが生み出した力、それは他のあらゆるゼニスを支配する力だった。その力をもって、すべてを支配すべく、天門から現れた。 —『オラクルの書 第３章』
グローリー・スノー,DMBD06 19/19,221_021_01_グローリー・スノー.jpg,あらゆる者を「審判の日」に集わせる力を持つ、セーブ・ザ・デイト。そして、オーエン・ザ・ロードがその姿を現すと、墓地には誰もいなくなった。「創世」と「終焉」、この２柱の力が、ゼロではない新たなゼニスの力を生み出した。 —『オラクルの書 第2章』
極頂秘伝ゼニス・シンフォニー,DMBD06 12/19,221_026_01_極頂秘伝ゼニス・シンフォニー.jpg,あらゆるゼニスはドラゴ大王の前に敗れた。だが、いずれその支配の力を「正義」として、２柱の力を併せ持つパーフェクトな存在が出現するであろう。その日まで、民よ、ゼニスの力を信じるべし。 —『オラクルの書 第４章』
真実の名 バウライオン,DMBD06 13/19,221_027_01_真実の名 バウライオン.jpg,シャングリラによってゼニスはゼロの力に目覚めた。だが、ドラゴン・サーガ世界ではシャングリラが存在せず、代わりに支配の力を持つ光文明にゼニスの力が宿った。
懐疑の虎狼 ミラーズホロウ / 「汝は偽名なりや？」,DMBD06 14/19,221_028_01_懐疑の虎狼 ミラーズホロウ _ 「汝は偽名なりや？」.jpg,ゼニスの力に染まりし者よ、集え！
トライガード・チャージャー,DMBD06 16/19,221_030_01_トライガード・チャージャー.jpg,天使と悪魔。創世と終焉。そして、セーブとロード。相反する二つの力が打倒ドラゴンのために手を組んだ時、この世界にゼニスが生まれた。
剛撃古龍テラネスク,DMBD05 5/18,221_034_01_剛撃古龍テラネスク.jpg,龍幻郷、それがどこにあるかは誰にもわからない。きっと、あらゆるドラゴンを愛した少年の心の中にあるのだろう。
閃光のメテオライト・リュウセイ,DMBD05 6/18,221_035_01_閃光のメテオライト・リュウセイ.jpg,リュウセイ、ロマネスク、そしてバルガ。強き龍は、それにふさわしい名前を持ち、そしてそれを受け継いでいく。
光神龍スペル・デル・フィン,DMBD05 7/18,221_036_01_光神龍スペル・デル・フィン.jpg,ドラゴンが支配できるのは目に見えるモノだけではない。魔力のような、目に見えない力すらも、ドラゴンは自分の支配下とする。
地掘類蛇蝎目 ディグルピオン,DMBD05 8/18,221_037_01_地掘類蛇蝎目 ディグルピオン.jpg,龍幻郷を統べる領主、バルガ・ド・ライバー。その力は、龍幻郷に存在するドラゴンが増えれば増えるほど、強力なものとなる。
音階の精霊龍 コルティオール,DMBD05 16/18,221_038_01_音階の精霊龍 コルティオール.jpg,なぜ、ドラゴンは強いのか？それは、もともと強いからだ！ドラゴンである事自体が強さなのだ。
メガ・ブレード・ドラゴン,DMBD05 17/18,221_039_01_メガ・ブレード・ドラゴン.jpg,歴史上、その名に「龍幻」の称号を与えられた初めての龍王。その名はバルガ・ド・ライバー！
無双龍幻バルガ・ド・ライバー,DMBD05 1/18,221_041_01_無双龍幻バルガ・ド・ライバー.jpg,バルガの歴史でも最強と謳われし龍王。
竜星バルガライザー,DMBD05 10/18,221_043_01_竜星バルガライザー.jpg,「バルガ」。それはドラゴンを呼び出す力を持った究極の龍に与えられる称号。
メンデルスゾーン,DMBD05 14/18,221_047_01_メンデルスゾーン.jpg,ドラゴンは戦う事が定め。ゆえに戦いの中で、その美しさを魅せる。
トップ・オブ・ロマネスク,DMBD05 15/18,221_048_01_トップ・オブ・ロマネスク.jpg,「龍仙が戻ろうとも、ロマネスク界トップの座は譲らぬ」このトップ・オブ・ロマネスクの発言がきっかけとなり、龍幻郷にてロマネスク大戦がはじまった。
ポクチンちん,DMEX02 9/84,222_002_01_ポクチンちん.jpg,ルール違反は正座の刑！ 墓地のカードを成仏させる念仏を、じっくり聞かせてやるチ～ン。 — ポクチンちん
連鎖類超連鎖目 チェインレックス,DMEX02 16/84,222_004_01_連鎖類超連鎖目 チェインレックス.jpg,ミステリー・ディザスターや獰猛なる大地でタダ出しした超大型クリーチャーで相手を踏みつぶす！ それがカブト鬼の戦略だ！
煌メク聖壁 灰瞳,DMEX02 22/84,222_005_01_煌メク聖壁 灰瞳.jpg,灰瞳が出れば、シールドはなんと全回復！ 手札に加えたカードの中に裁きの紋章があれば、サバキＺ発動のチャンス！
奈落の葬儀人デス・シュテロン,DMEX02 30/84,222_008_01_奈落の葬儀人デス・シュテロン.jpg,増やした墓地を活用するのが闇の戦略。ホネンビーやスーパー・デーモン・ハンドで墓地を増やしまくれ！
暴走機 “F-亞”,DMEX02 50/84,222_011_01_暴走機 “F-亞”.jpg,説明しよう！ ゴゴゴ・ガンガン・ギャラクシー（Ｇ・Ｇ・Ｇ）とは、手札が１枚以下の時に超パワーを発揮する激ヤバブースト能力なのだ!!
グッド“MSL”バウンサー,DMEX02 57/84,222_012_01_グッド“MSL”バウンサー.jpg,自分だけでなく、B・A・Dなヤツらも全員破壊から守るグッドルッキンなナイスガイ！
堕魔 ジグス★ガルビ,DMEX02 64/84,222_013_01_堕魔 ジグス★ガルビ.jpg,墓地にムーゲッツがいる時は魔導具に！魔導具が揃っている時はムーゲッツとして活躍！ それが魔導具の力を兼ね備えた最強のムーゲッツ、ジグス★ガルビだ！
怒りの赤髭 ゴセントラス / 目覚めし鋼牙のブレイン,DMEX02 71/84,222_014_01_怒りの赤髭 ゴセントラス _ 目覚めし鋼牙のブレイン.jpg,超獣と呪文！双つを極めし技、ツインパクト！
獰猛なる大地,DMEX02 18/84,222_016_01_獰猛なる大地.jpg,自然文明最強の4戦士、その名もガイアハザード！ 自然文明の平和を守る為、彼らはどんな強敵にも立ち向かう!!
蝕王の晩餐,DMEX02 33/84,222_019_01_蝕王の晩餐.jpg,この呪文でコブラを破壊すれば、墓地にいるデス・シュテロンをタダ出しできるぞ。これが闇文明の超高速召喚だ！
めった切り・スクラッパー,DMEX02 40/84,222_020_01_めった切り・スクラッパー.jpg,ドラ息子の次は、メラビート・ザ・ジョニーをJ・O・Eで召喚！ 手札の火ジョーカーズが２枚タダ出し可能に！
DNA・スパーク,DMEX02 48/84,222_021_01_DNA・スパーク.jpg,スパークは、光文明の中でも特別な呪文に与えられる名前であーる！
ダチッコ・チュリス,DMEX02 60/84,222_022_01_ダチッコ・チュリス.jpg,オイラとチュチュリスがいれば、“MSL”のアニキも速攻呼べるッス！ アニキがいれば守りは完璧ッス！ — ダチッコ・チュリス
“必駆”蛮触礼亞,DMEX02 61/84,222_023_01_“必駆”蛮触礼亞.jpg,火文明の蒸気には、能力を上げる効果があるという。すげぇロケットを飛ばすのも、カッコイイ飛び蹴りも、蒸気があれば何でもできる！
堕魔 ドゥポイズ,DMEX02 68/84,222_024_01_堕魔 ドゥポイズ.jpg,場と墓地に魔導具が揃えば、無月の門発動！ まずはドゥポイズで時間を稼げ！
クリスタル・メモリー,DMEX02 81/84,222_028_01_クリスタル・メモリー.jpg,たまにクリーチャー世界に現われる３人組。ウサギ団と名乗る彼らが探すのは、遺跡でも財宝でもなく……レアカード。
霊騎ラグマール,DMEX02 5/84,222_031_01_霊騎ラグマール.jpg,ミノまじかる！それは、ナゾの力でマナゾーンから強力な仲間を呼び出す能力。そして、マナゾーンからナゾまるを再び召喚すれば何度でも使えるのだ！
未来設計図,DMEX02 6/84,222_032_01_未来設計図.jpg,小さい体で最強虫の名を持つのはダテじゃない！ その身に秘めた最強の力で、大地からナゾまる軍団を呼び出すのだ!!
夢のジョー星,DMEX02 13/84,222_033_01_夢のジョー星.jpg,ジョー星に強くて楽しくて、なによりカッコいい仲間が新たに登場！その名も、ジョット・ガン・ジョラゴン!!
躍喰の超人,DMEX02 19/84,222_034_01_躍喰の超人.jpg,大型クリーチャーの召喚手段はタダ出しだけじゃない！自然文明の得意技、マナ加速で出す方法もあるぞ！
父なる大地,DMEX02 20/84,222_035_01_父なる大地.jpg,相手の大型クリーチャーを小型にするだけじゃなく、マッハファイターで殴る相手がいない時に、マナゾーンから無理やり引きずり出すウラ技もあるぞ！
プロテクション・サークル,DMEX02 28/84,222_036_01_プロテクション・サークル.jpg,煌龍が新たな力に目覚めつつあることで、光文明の者達もまた、新しき姿へ変わろうとしていた。
白骨の守護者ホネンビー,DMEX02 34/84,222_037_01_白骨の守護者ホネンビー.jpg,墓地が増えれば増えるほどオトクなのが闇文明！ コイツでコブラが墓地に落ちるのを祈れ！
魔薬医 ヘモグロ,DMEX02 35/84,222_038_01_魔薬医 ヘモグロ.jpg,コブラの復活時に破壊するのはコイツで決まり！ 墓地から戻ってくる度、相手の手札を抹殺！
ヤッタレ総長,DMEX02 41/84,222_039_01_ヤッタレ総長.jpg,早く飛び出て奇襲する速攻能力、それがJ・O・E！ ドンドド・ドラ息子がいれば、すでにJ・O・Eを持ってる奴も更に早くなるのだ!!
天雷の導士アヴァラルド公,DMEX02 49/84,222_040_01_天雷の導士アヴァラルド公.jpg,閃光に包まれし、歴戦の魔法騎士。その者が、双極の力にいざなわれ、戦場へと帰って来た。
堕魔 ドゥシーザ,DMEX02 69/84,222_042_01_堕魔 ドゥシーザ.jpg,ガ・リュザークの炎より生まれしムーゲッツ。無月の門によるタダ出しに備えて、墓地に送り込んでおこう。
貝獣 チャバンラ,DMEX02 83/84,222_044_01_貝獣 チャバンラ.jpg,ウミラビットの能力は、NEOクリーチャーが攻撃するたび発動。低コストのチャバンラを並べて使いまくれ！
ぽぽどーどー,DMEX02 84/84,222_045_01_ぽぽどーどー.jpg,普通に召喚もできるし、進化して即アタックもできる！それがNEOクリーチャーだ！
ライフプラン・チャージャー,DMEX02 7/84,222_046_01_ライフプラン・チャージャー.jpg,普通に召喚出来ないマツぽっくんも、ミノまじかるなら簡単に呼び出せちゃう！マツぽっくんでナゾまるを守って、毎ターン、ミノまじかるを発動させよう。
チョコっとハウス,DMEX02 14/84,222_047_01_チョコっとハウス.jpg,チョコっとマナを増やすだけじゃあ甘いザンス！ ガッツリマナを増やして、チョコが溶けるより早く切り札を召喚するザンス！ — チョコっとハウス
獣軍隊 ヤドック,DMEX02 21/84,222_048_01_獣軍隊 ヤドック.jpg,コイツで相手の大型クリーチャーのタダ出しを防ごう！その隙に自分だけタダ出ししまくれ！
花美師ハナコ,DMEX02 42/84,222_049_01_花美師ハナコ.jpg,ルール無用のジョーカーズが手札補充するのは山札だけじゃない！シールドからだってできちゃうぞ。
ミサイル“Ｊ-飛”,DMEX02 54/84,222_050_01_ミサイル“Ｊ-飛”.jpg,G・G・Gは、毎ターンクリーチャーを出し続けていれば、簡単に発動できる！
ホップ・チュリス,DMEX02 55/84,223_001_01_ホップ・チュリス.jpg,とにかく毎ターンクリーチャーを召喚して攻め続けよう！それが火文明の戦い方だ!!
凶戦士ブレイズ・クロー,DMEX02 56/84,223_002_01_凶戦士ブレイズ・クロー.jpg,まずはコイツからスタート！
一番隊 チュチュリス,DMEX02 63/84,223_003_01_一番隊 チュチュリス.jpg,ビートジョッキーの切り込み隊長はコイツ！ B・A・Dと組み合わせて超速攻召喚だ！
ブレイン・チャージャー,DMEX02 75/84,223_004_01_ブレイン・チャージャー.jpg,切り札を探しながらマナも増やせる、両方こなせちゃう便利なブレインだ！
ブレイン・ストーム,DMEX02 76/84,223_005_01_ブレイン・ストーム.jpg,他文明と関わりを持たず、密かに魔術やブレインの研究を進めている水文明。最近、魚人覇王団に変わる新勢力が生まれようとしている。
ガード・グリップ,DMEX02 77/84,223_006_01_ガード・グリップ.jpg,使った呪文を墓地にため込んで、ゴセントラスのタダ出しを狙え！
超絶特Q ダンガンテイオー,DMEX02 11/84,223_009_01_超絶特Q ダンガンテイオー.jpg,ピンチに頼れるスーパーヒーロー！ 味方の攻撃を加速し、相手の速攻にはストップをかけるスピードのスペシャリストだ！
ヘルコプ太,DMEX02 12/84,223_010_01_ヘルコプ太.jpg,ジョーカーズを弾にして撃ち出し、出た時能力を使うのが、ジョラゴンのジョラゴン・ビッグ1！ ザンジェットW7が放たれた時、次なるジョーカーズ弾が装填される！
ハヤブサノ裁徒Ｚ/ヒーリン・マスカラス,DMEX02 24/84,223_012_01_ハヤブサノ裁徒Ｚ_ヒーリン・マスカラス.jpg,サバキＺで飛び出して、相手のアタックを止めるぜ！
奇石マクーロ,DMEX02 25/84,223_013_01_奇石マクーロ.jpg,相手の攻撃を逆手に取って、ピンチをチャンスに変える！ それが新たなる裁きの力、サバキZだ！
スーパー・デーモン・ハンド,DMEX02 31/84,223_015_01_スーパー・デーモン・ハンド.jpg,闇文明は「世界をつなぐ柱」では繋がっていない、行き来不可能な文明。しかし闇の者達は、影を通して密かに他文明を覗いている。
メラメラ・ジョーカーズ,DMEX02 39/84,223_018_01_メラメラ・ジョーカーズ.jpg,ドラゴンやドラム、応援団や新幹線などなど、マスターが描いた絵から生まれた、ヘンテコでハチャメチャで超楽しいヤツら！ それがジョーカーズだ！
緑知銀 フェイウォン,DMEX02 46/84,223_021_01_緑知銀 フェイウォン.jpg,ドローしつつ、敵の攻撃先をも変えられる序盤の要！ 手札を増やしながら、防御を固めろ！
フラッシュ・スパーク,DMEX02 47/84,223_022_01_フラッシュ・スパーク.jpg,光、水、自然、火を貫く、「世界をつなぐ柱」。柱の中は文明ごとに異なる。光文明の場合は広大で複雑な迷路が広がっている。
トツゲキ戦車 バクゲットー,DMEX02 52/84,223_024_01_トツゲキ戦車 バクゲットー.jpg,手札が０枚の時でも２枚引けちゃうから超オトク！ どんどん引いて、切り札を爆ゲットしろ！
ゼンメツー・スクラッパー,DMEX02 53/84,223_025_01_ゼンメツー・スクラッパー.jpg,常に進化を続ける火文明のマスター！ 情に厚く、曲がったことは許さない、漢の中の超・漢！ それが“轟轟轟”ブランドだぁぁぁ!!!
ズバット戦車 バチゴーン,DMEX02 58/84,223_026_01_ズバット戦車 バチゴーン.jpg,召喚コストがグッと下がるのと引き替えに、ターン終わりに破壊される、マジで命知らずな能力！ それがバッド・アクション・ダイナマイト、略してＢ・Ａ・Ｄ!!!!
卍月の流星群,DMEX02 66/84,223_029_01_卍月の流星群.jpg,卍月 ガ・リュザーク 卍から零れし暗黒の流星。それは刻一刻と他文明を蝕んでいる。
ボーンおどり・チャージャー,DMEX02 67/84,223_030_01_ボーンおどり・チャージャー.jpg,墓地が増えりゃあ、門が開く♪ そのための儀式、骨踊り♪さぁさ、みんなで踊れやワッショイ♪
貝獣 パウアー,DMEX02 72/84,223_031_01_貝獣 パウアー.jpg,相手の手札破壊で逆に手札補充！それがパウアーの持つパワーだ！
インパラスカス,DMEX02 79/84,223_032_01_インパラスカス.jpg,インパラスカスは、どの文明のNEOクリーチャーの進化元にもなれる！ スゴイ！
最強虫 ナゾまる,DMEX02 1/84,223_033_01_最強虫 ナゾまる.jpg,まるのまじかる、見せてやるまる!!
龍装の調べ 初不 / ホーリー・スパーク,DMRP06 S2/S10,223_035_01_龍装の調べ 初不 _ ホーリー・スパーク.jpg,叡智の光に包まれて、悪しき者は眠りにつく。
龍装艦 チェンジザ / 六奇怪の四 ～土を割る逆瀧～,DMRP06 S5/S10,223_038_01_龍装艦 チェンジザ _ 六奇怪の四 ～土を割る逆瀧～.jpg,六奇怪を調査する者は皆、逆瀧に飲まれ消息を絶った。
龍装鬼 オブザ08号 / 終焉の開闢,DMRP06 S6/S10,223_039_01_龍装鬼 オブザ08号 _ 終焉の開闢.jpg,「終焉」の二つ名を持つ凶鬼が、光へ送り込まれた。
ビックリーノ,DMRP06 S7/S10,223_040_01_ビックリーノ.jpg,おどろくとすぐ顔が飛び出る。すぐびっくりする。
ど・真ん中太郎,DMRP06 S8/S10,223_041_01_ど・真ん中太郎.jpg,真ん中が好きすぎて、何でも、真ん中を行く。そのせいで、体の真ん中が弱点。
ナ・チュラルゴ・デンジャー / ナチュラル・トラップ,DMRP06 S9/S10,223_042_01_ナ・チュラルゴ・デンジャー _ ナチュラル・トラップ.jpg,「このトラップ1個、1000万円でんでん！」
帰還の精霊シュマヌマージ,DMRP06 1/93,223_044_01_帰還の精霊シュマヌマージ.jpg,黒き流星が各文明へと落ちていく。
奇石 トランキー / アイ・オブ・ザ・タイガー,DMRP06 2/93,223_045_01_奇石 トランキー _ アイ・オブ・ザ・タイガー.jpg,煌龍 サッヴァークは、新たな裁きの力を宿そうとしていた。
遣宮使 ネオンクス / ネオ・ブレイン,DMRP06 3/93,223_046_01_遣宮使 ネオンクス _ ネオ・ブレイン.jpg,大量のブレインを積んだタマテガメが、超宮城に向け出港した。
地のぬし コイザムライ,DMRP06 4/93,223_047_01_地のぬし コイザムライ.jpg,これでもコイをするコイなのじゃー。 — 地のぬし コイザムライ
マッド・デーモン閣下/デーモン・ハンド,DMRP06 6/93,223_049_01_マッド・デーモン閣下_デーモン・ハンド.jpg,「お前も悪魔人形にしてやろうか！」
龍装車 マグマジゴク/地獄スクラッパー,DMRP06 7/93,223_050_01_龍装車 マグマジゴク_地獄スクラッパー.jpg,踏んだら地獄。踏まなきゃジゴク。
ワイルド・シールド・クライマックス,DMRP06 8/93,224_001_01_ワイルド・シールド・クライマックス.jpg,輝くＪの印が、あらゆる攻撃からジョラゴンを守る!!
龍装者 ジスタジオ,DMRP06 9/93,224_002_01_龍装者 ジスタジオ.jpg,自然文明が活動を始めた真の理由。それは、ドラゴンを滅ぼすためだった!!
オブラディ・ホーネット / 「Let it Bee！」,DMRP06 10/93,224_003_01_オブラディ・ホーネット _ 「Let it Bee！」.jpg,ガイアハザードがやって来るヤァ！ ヤァ！ ヤァ！
超宮兵 マノミ,DMRP06 16/93,224_009_01_超宮兵 マノミ.jpg,オラ達、超宮の兵が不思議な零の力を使えるのは、主様が持つでっかいサンゴのおかげダァ。おんやぁ、誰か来たようダベ。 — 超宮兵 マノミ
歴史を語るブレイン,DMRP06 17/93,224_010_01_歴史を語るブレイン.jpg,深き海溝から見つかった、ブレインと呼ばれる宝。それらは、過去に見つかった遺物を遥かに上回る魔力を宿していた。
整刑医 ルックス,DMRP06 19/93,224_012_01_整刑医 ルックス.jpg,火のマスターにボコボコにされたムカデが次に目を付けたのは、光に生まれた新たな裁きの力だった。
堕魔 ドゥリケン,DMRP06 21/93,224_014_01_堕魔 ドゥリケン.jpg,卍 デ・スザーク 卍は、さらなる絶望と悶絶を与えるべく新たな門を開いた。その門の名は、無月の門・絶。
バンバン戦車 バンチュー,DMRP06 23/93,224_016_01_バンバン戦車 バンチュー.jpg,チュリスが遺したメッセージ「D・M」の真相。それは髪型でも、デュエル・マスターでもなく……「デカイ・ムカデ」。
グレイト“Ｓ-駆”,DMRP06 25/93,224_018_01_グレイト“Ｓ-駆”.jpg,蒸気の込め過ぎで暴走したゴゴゴ・ロケットは、1秒で火文明を555周する程の速さで暴れ回った。
ギギギのギタロー,DMRP06 29/93,224_023_01_ギギギのギタロー.jpg,みんなで歌おう♪ ギギギのギー♪ — ギギギのギタロー
波乗りザブンプル,DMRP06 30/93,224_024_01_波乗りザブンプル.jpg,見ろやこの波！ ノッリノリやで!! ゾックゾクするやろ!! — 波乗りザブンプル
ジョラゴン・リロード,DMRP06 31/93,224_025_01_ジョラゴン・リロード.jpg,オウ禍武斗の猛攻に耐えるべく、最強の盾が生み出された！
五導の並び 蓮多,DMRP06 32/93,224_026_01_五導の並び 蓮多.jpg,伝説の剣の真相をさぐるべく、絶十を隊長とした精鋭部隊が結成された。
百全の備え 品紅/モモンド・コール,DMRP06 33/93,224_027_01_百全の備え 品紅_モモンド・コール.jpg,モモンド隊、ヨッシャ、いくぞ!!
